FaceControl0.0.4.0
有効			有效
絶頂射精後２			高潮射精后２
興奮射精後１			兴奋射精后１
興奮射精後２			兴奋射精后２
余韻弱				余韵微弱
発情				发情
接吻				接吻
玉涙:OFF				圆泪:OFF
涙なし				没有眼泪
赤面:OFF				脸红:OFF
頬なし				没有脸红
よだれ:OFF			口水:OFF		
ショック:OFF			震动:OFF
玉涙:ON				圆泪:ON
涙１				眼泪1
涙２				眼泪2
赤面:ON				脸红:ON
涙３				眼泪3
閉じ目				闭眼
目口閉じ				闭眼闭嘴	
通常				正常
怒り				生气
笑顔				笑脸
微笑み				微笑
悲しみ				悲伤
悲しみ２				悲伤２
泣き				哭泣
きょとん				凝视
ジト目				蔑视
あーん				大哭
ためいき				叹息
ドヤ顔				骄傲脸
にっこり				微笑	
びっくり				惊吓	
ぷんすか				嘟嘴
まぶたギュ			眼睛抽搐
むー				赌气
引きつり笑顔			笑抽
疑問				疑问
苦笑い				苦笑
思案伏せ目			沉思
少し怒り				有点生气
誘惑				诱惑
優しさ				温柔
居眠り安眠			平静瞌睡
目を見開いて			睁大眼睛
痛みで目を見開いて			痛苦得睁开眼睛
口開け				张嘴
恥ずかしい			难为情
追加よだれ			追加口水
よだれ				口水
照れ				害羞
照れ叫び				害羞呼喊
ウインク照れ			害羞眼神
にっこり照れ			害羞微笑
ダンス目つむり			舞蹈翻白眼
ダンスあくび			舞蹈打哈欠
ダンスびっくり			舞蹈惊吓
ダンス微笑み			舞蹈微笑
ダンス目あけ			舞蹈睁眼
ダンス目とじ			舞蹈闭眼	
ダンスウインク			舞蹈眨眼
ダンスキス			舞蹈之吻	
ダンスジト目			舞蹈轻蔑
ダンス困り顔			舞蹈愁眉苦脸	
ダンス真剣			舞蹈认真
ダンス憂い			舞蹈忧愁
ダンス誘惑			舞蹈诱惑
頬０	᠎頬０
頬１	᠎頬１
頬２	᠎頬２
頬３	᠎頬３
涙０	᠎泪０
涙１	᠎泪１
涙２	᠎泪２
涙３	᠎泪３
頬０涙０	頬０泪０
頬０涙１	᠎頬０泪１
頬０涙２	頬０泪２
頬０涙３	᠎頬０泪３
頬１涙０	頬１泪０
頬１涙１	᠎頬１泪１
頬１涙２	頬１泪２
頬１涙３	᠎頬１泪３
頬２涙０	頬２泪０
頬２涙１	᠎頬２泪１
頬２涙２	頬２泪２
頬２涙３	᠎頬２泪３
頬３涙０	頬３泪０
頬３涙１	᠎頬３泪１
頬３涙２	頬１泪２
頬３涙３	᠎頬３泪３
頬０涙０よだれ	頬０泪０口水
頬０涙１よだれ	᠎頬０泪１口水
頬０涙２よだれ	頬０泪２口水
頬０涙３よだれ	᠎頬０泪３口水
頬１涙０よだれ	頬１泪０口水
頬１涙１よだれ	᠎頬１泪１口水
頬１涙２よだれ	頬１泪２口水
頬１涙３よだれ	᠎頬１泪３口水
頬２涙０よだれ	頬２泪０口水
頬２涙１よだれ	᠎頬２泪１口水
頬２涙２よだれ	頬２泪２口水
頬２涙３よだれ	᠎頬２泪３口水
頬３涙０よだれ	頬３泪０口水
頬３涙１よだれ	᠎頬３泪１口水
頬３涙２よだれ	頬１泪２口水
頬３涙３よだれ	᠎頬３泪３口水
恥01			羞耻01
恥02			羞耻01
恥03			羞耻01
恥04			羞耻01
嫌悪01			厌恶01
嫌悪02			厌恶01
嫌悪03			厌恶01
嫌悪04			厌恶01
エロ興奮01		エロ兴奋01
エロ興奮02		エロ兴奋01
エロ興奮03		エロ兴奋01
エロ興奮04		エロ兴奋01
口淫01			口交01
口淫02			口交02
口淫03			口交03
口淫04			口交04
目閉じ			闭眼
にっこり			微笑
ジト目			蔑视
見開く			睁大眼睛
ウィンク左1		眨眼左1
ウィンク左2		眨眼左2
ウィンク右1		眨眼右1
ウィンク右2		眨眼右2
眉キリッ			皱眉
眉困り			眉困惑
眉ハの字			C字眉
眉上げ			眉毛上扬
眉傾き			眉毛倾斜
瞳サイズ			眼睛大小
ハイライト		突出显示
口あ			
口い			
口う			
口笑顔			嘴角笑
口角上げ			嘴角向上
口角下げ			最小向上
口角左上げ		嘴角向左上
への字口			嘟嘴
舌出し1			伸出舌头1
舌出し2			伸出舌头2
舌根上げ			抬起舌根
歯オフ			牙齿高度
